日本水産,日本水産、同社初の機能性表示食品を5月発売:[健康産業速報],http://www.kenko-media.com/hi_newsflash/009464.html,健康メディア.com,2016-04-14,"日本水産は11日、「海から、健康EPAlife(エパライフ)」ブランドの機能性表示食品5品を発売すると発表した。同社初の機能性表示食品。消費者庁の届出受理を受け、2品を5月14日、3品を7月1日より販売する。
"
日本水産,オラム・インターナショナル、家畜飼料などに163億円投資  :日本経済新聞,http://www.nikkei.com/article/DGXLZO99730790V10C16A4FFE000/,日本経済新聞,2016-04-16," オラム・インターナショナル(シンガポールの大手農産物商社) ナイジェリアでの家畜・魚用飼料や養鶏などの事業に1億5000万ドル(約163億円)を投資する。現地で高タンパク質の食材需要が拡大していることに対応する。 ナイジェリアのカドゥナ州とクワラ州に飼料工場を建設する。カドゥナ州では養鶏場とふ化場も建設中だ。2つの飼料工場では、養鶏や養殖魚用の飼料をそれぞれ年間60万トン生産する一方、養鶏場から週に100万個の卵をふ化場に送る。かえったヒヨコはオラムが技術支援を提供する養鶏農家に販売する。 カドゥナの飼料工場は4月上旬に着工した。飼料生産には、同社の小麦製粉所から出るふすまを動物飼料の安価な材料として使う。同社はナイジェリアで小麦の販売・生産量とも2位。 ナイジェリアでは都市化の進展とともに高タンパク質の食事を嗜好する消費者が増加。これが養鶏・水産養殖品の需要の追い風となって商業用飼料市場は今後5年間に、年10%以上の成長が見込まれる。 オラムは1989年にナイジェリアからインドにカシューナッツの輸出を始め、現在は同国でココア、カシューナッツ、綿の調達・加工や米や小麦の製粉を行っているほか、近年、即席麺や菓子の販売も始めた。(シンガポール=谷繭子)
"
日本水産,日本農業新聞 e農ネット - 熊本地震 農業用ダムで漏水,http://www.agrinews.co.jp/modules/pico/index.php?content_id=36996,日本農業新聞,2016-04-16," 「熊本地震」の発生を受け、熊本県は15日、災害対策本部を県庁で開いた。自衛隊に災害派遣要請を行いながら、人命救助を最優先に取り組むことを確認。被害状況の把握を急ぎ、農林水産関連では、ダムの漏水や土地改良施設の損傷、農地を侵食から守る「農地海岸」の液状化などが明らかになった。被害が広がらないよう対応を急いでいる。
農業被害は同日午後3時現在。熊本市の小島地区の水田2、3筆で液状化の痕跡を確認。農業用ダム7カ所全てを点検し、御船町の天君ダムは漏水量が通常より増えているため、調査を継続中だ。農業用ため池は91カ所を全て点検し、宇城市では堤体の損傷があるため、緊急放流で、ため池の水位を低下させる対策を取った。土地改良施設は、宇城管内の亀裂が生じた農道が通行止めとなっている。
"
日本水産,きょうの国内市況(4月15日):株式、債券、為替市場 - Bloomberg,https://www.bloomberg.co.jp/news/articles/2016-04-15/O5NS7V6JTSEJ01,ブルームバーグ,2016-04-14,"  東京株式相場は4日ぶりに反落。カタール・ドーハでの産油国会議を控えた海外原油価格の下げが嫌気され、前日まで3連騰した反動を警戒する売りも広がった。電機や輸送用機器など輸出株、銀行や保険など金融株が安く、鉱業は東証1部33業種の下落率1位。  TOPIXの終値は前日比9.95ポイント(0.7%)安の1361.40、日経平均株価は63円02銭(0.4%)安の1万6848円03銭。  三菱UFJ国際投信の宮崎高志戦略運用部長は、「目先筋が一方向に売っていたポジションをイベント前に巻き戻した動きが一巡した。企業の生産性が上がらず、中長期でみて日本株が選好されにくい中では目先筋の売買に振らされやすい」と話した。長期資金が入りづらい状況で、20カ国・地域(G20)財務相・中央銀行総裁会議などイベントが終了した来週は、「また目先筋がショートを振るリスクもみておかなければならない」と言う。  東証1部33業種は鉱業、銀行、電機、その他金融、輸送用機器、保険、不動産、証券・商品先物取引、繊維、非鉄金属など27業種が下落。パルプ・紙や建設、空運、水産・農林、陸運、情報・通信の6業種は上昇。東証1部の売買高は19億8537万株、売買代金は2兆593億円。値上がり銘柄数は565、値下がりは1262。
売買代金上位では、シティグループ証券が投資判断を下げた小野薬品工業が大幅安で、子会社が熊本県に工場を持つソニーも安い。日本電産や村田製作所、富士通、アルプス電気、国際石油開発帝石も下げた。半面、清水建設やコナミホールディングス、トレンドマイクロ、ドイツ証券が投資判断を上げたSCREENホールディングスは高い。長期金利1カ月ぶり低水準、オペ結果受け−熊本地震で買いとの見方も(記事全文はこちらをクリックしてご覧下さい)  債券相場は上昇。長期金利は約1カ月ぶりの水準まで低下した。日本銀行の長期国債買い入れオペ結果で需給が良好なことが示されたことが背景。前日夜に熊本県で強い地震が発生したことがリスク回避的な買いにつながっているとの見方も出ていた。  現物債市場で長期金利の指標となる新発10年物国債の342回債利回りは、日本相互証券が公表した前日午後3時時点の参照値と横ばいのマイナス0.095%で開始。その後は徐々に水準を切り下げ、一時2ベーシスポイント(bp)低下のマイナス0.115%と3月18日以来の低水準を付けた。その後はマイナス0.11%で推移している。  新発20年物の156回債利回りは横ばいの0.315%で始まった後、0.305%まで低下した。新発30年物の50回債利回りは0.5bp高いの0.405%で始まった後、徐々に水準を切り下げ、一時0.385%と過去最低に並んだ。その後は0.39%で推移している。  マスミューチュアル生命保険運用戦略部の嶋村哲金利統括グループ長は、「期初からの日本国債の買いの流れは継続しており、フラットニングも進行してきている」と説明。ただ、「このフラットニング・トレンドも煮詰まってきており、一段の進行には懐疑的にみている」と語った。  長期国債先物市場で中心限月6月物は、前日比3銭高の151円71銭で取引を開始した。いったん1銭安の151円67銭を付けた後は、買いが優勢となり、一時151円96銭と3月30日以来の高値を付けた。結局は21銭高の151円89銭で引けた。円下落、株下げ渋りや中国景気懸念後退で−G20・産油国会合見極め(記事全文はこちらをクリックしてご覧下さい)  東京外国為替市場では円が下落。日本株の下げ渋りや中国景気懸念の後退を背景に円売りが優勢となった。  ドル・円相場は午後3時13分現在、1ドル=109円49銭前後。朝方には109円29銭まで円が強含む場面が見られたが、日本株が急速に下げ渋るのに伴い円売り優勢となり、一時109円73銭と7日以来の円安値を付けた。午後にかけては20カ国・地域(G20)財務相・中央銀行総裁会議の結果や週末のドーハでの産油国会合を見極めようとのムードが広がり、109円台後半でもみ合う展開となった。  三井住友銀行市場営業部為替トレーディンググループの佐藤慎介グループ長は、週末を前にしたドル買い・円売りが優勢だとし、リスクセンチメントの改善もドル・円をサポートしていると説明。ドル・円は「足元の上昇で下値を固めた状況で、 短期的には110円を視野に入れた動きになる」可能性があると話した。
"
日本水産,日本株反落、ドーハ会議前の原油安と連騰反動−輸出や金融、鉱業安い - Bloomberg,https://www.bloomberg.co.jp/news/articles/2016-04-14/O5NB436KLVRM01,ブルームバーグ,2016-04-14,"15日の東京株式相場は4日ぶりに反落。カタール・ドーハでの産油国会議を控えた海外原油価格の下げが嫌気され、前日まで3連騰した反動を警戒する売りも広がった。電機や輸送用機器など輸出株、銀行や保険など金融株が安く、鉱業は東証1部33業種の下落率1位。  TOPIXの終値は前日比9.95ポイント(0.7%)安の1361.40、日経平均株価は63円02銭(0.4%)安の1万6848円03銭。  三菱UFJ国際投信の宮崎高志戦略運用部長は、「目先筋が一方向に売っていたポジションをイベント前に巻き戻した動きが一巡した。企業の生産性が上がらず、中長期でみて日本株が選好されにくい中では目先筋の売買に振らされやすい」と話した。長期資金が入りづらい状況で、20カ国・地域(G20)財務相・中央銀行総裁会議などイベントが終了した来週は、「また目先筋がショートを振るリスクもみておかなければならない」と言う。
14日のニューヨーク原油先物は0.6%安の1バレル=41.50ドルと続落。石油輸出国機構(OPEC)加盟国とロシアなど非加盟国が参加し、17日にドーハで開かれる産油国会議による供給への影響は限定的との見方から売りに押された。企業決算の内容を見極めたいとし、同日の米国株も小動き。  1カ月ぶりとなった前日までの3連騰で日経平均は1160円(7.4%)上昇、きょうの日本株は週末を前に直近急伸業種を中心に持ち高整理、損益確定の売りが先行しやすかった。3連騰中の上昇率上位は銀行、保険、非鉄金属、輸送用機器など。こうした業種群には戻り売り圧力が強かった。岩井コスモ証券投資情報部の堀内敏一課長は、「3月にもみ合いを続けて累計売買高も厚い株価水準まで戻ったため、ここから上値を一気に抜けるには材料も必要」とみている。  もっとも、為替の落ち着きを背景に下げも限定的。この日のドル・円相場はおおむね1ドル=109円50ー70銭台で推移、東京株式市場の14日終値時点は109円43銭だった。国際通貨基金(IMF)のラガルド専務理事は、為替介入は混乱を招く変動回避の場合に限り正当化できる、と発言。米財務省は日米財務相会談後、ルー長官と麻生太郎財務相が「為替相場に関するG7とG20のコミットメントを全ての国々が順守する重要性で合意した」との声明を発表した。岩井コスモ証の堀内氏は、「為替介入を認めるラガルド発言に加え、日米財務相声明もあり、投機筋はやりにくくなった」と言う。  一方、気象庁によると、14日午後9時26分ごろに熊本県を震源に強い地震が発生。県内益城町では震度7の揺れを観測した。三菱電機やホンダなど県内に生産拠点がある企業は工場の稼働を停止した。みずほ証券によると、日本全体に占める熊本の国内総生産(GDP)は1.1%程度とあって、相場への直接的な影響は限られた。野村証券投資情報部の若生寿一エクイティ・マーケット・ストラテジストは、「熊本県には製造業の工場や拠点があり、サプライチェーンを通じ個別企業には影響を与える可能性がある」と指摘する。
"
日本水産,寒ブリ79トン 過去最低 新幹線開業年 “空振り”:石川:中日新聞(CHUNICHI Web),http://www.chunichi.co.jp/article/ishikawa/20160416/CK2016041602000039.html,中日新聞,2016-04-16," 県内の各漁港で水揚げされた定置網による寒ブリが過去20年で最少の79トンだったことが、県水産総合センター(能登町)のまとめで分かった。例年の2割にも届かず、1500トン近い実績があった5年前と比べると、わずか5%と記録的な少なさだ。新幹線の開業元年、北陸を代表する冬の味覚として観光客からも注目を集めたが、極めて寂しい結果となった。(前口憲幸)
寒ブリ漁は毎年十一月からの五カ月で集計する。現行の統計方式となった一九九五年以降で百トンを切ったのは初で、換算するとわずか九千七百匹程度。過去二十年を平均すると約四百七十トンの水揚げ量で、最も少なかった九八年でも約百六十トン近かった。今冬の「異常ぶり」が際立っている。
"
日本水産,黒瀬水産、FSSC22000認証取得 国内ニッスイグループで初 ｜日本食糧新聞・電子版,https://news.nissyoku.co.jp/news/detail?id=HONMIYA20160406044322947&cc=01&ic=050,食の情報源,2016-04-07," 日本水産の連結子会社でブリ養殖と加工・販売を手掛ける黒瀬水産(宮崎県串間市)はこのほど、食品安全マネジメントシステムの国際規格であるFSSC22000の認証を取得した。国内のニッスイグループ企業としては初めてとなる。同社食品部が2月25日付で取得した。 黒瀬水産は人工および天然種苗によるブリの養殖と加工・販売を行っており、認証を取得した同社食品部は水揚げからフィレーなどへの加工・出荷および品質管理を担当している。 より高度な食品安全のための品質管理が求められる中、FSSC2・・・
[全文は電子版会員登録を]
"
日本水産,「ウナギNOW」大賞授与 水産ジャーナリストの会｜静岡新聞アットエス,http://www.at-s.com/news/article/economy/shizuoka/unagi/230658.html,＠S［アットエス］ by 静岡新聞,2016-04-16," 「水産ジャーナリストの会大賞」の表彰式が15日、都内であり、合同企画「ウナギNOW(ナウ)」を連載した静岡新聞社、南日本新聞社(鹿児島県)、宮崎日日新聞社(宮崎県)に賞状が授与された。デスクを務めた静岡新聞社の佐藤学編集局経済部長ら各紙代表が金子弘道会長(帝京大教授)から賞状を受けた。
金子会長は「ウナギ養殖の現状と歴史に分け入り、ウナギ資源保護の在り方を幅広い読者層に問い掛けた。地方紙の連載の在り方に新機軸を打ち立てた」と選定理由を述べた。
「ウナギNOW」はニホンウナギが絶滅危惧種に指定されたのを受け、15年1月～7月に7章54回を連載。稚魚採捕、養殖、流通、消費、研究などの現場に迫った。近く書籍化する。
水産ジャーナリストの会は1994年から毎年、水産業に関する優れた活動や報道を「年度賞」として表彰。静岡新聞社は「鮪を追う」で2000年度賞を受けた。今回から「大賞」に名称が変更された。
"
日本水産,ロシア大統領、北方領土「妥協見いだせる」 首相の訪ロ評価  :日本経済新聞,http://www.nikkei.com/article/DGXLZO99676230V10C16A4FF1000/,日本経済新聞,2016-04-14," 【モスクワ=田中孝幸】ロシアのプーチン大統領は14日、日本との北方領土問題に関し「妥協はいつか見いだされる可能性があり、見いだされると思う」と述べ、協議を通じた解決に前向きな姿勢を見せた。安倍晋三首相の5月の訪ロについて「米国などパートナーの圧力にもかかわらず日本の友人は(ロシアとの)関係の維持に努めている」と高く評価した。
安倍首相との会談では「当然すべての問題を協議する」と言明。領土問題も議題に含める意向を示した。「第2次大戦後に解決できていない問題の解決のために我々がつくってきた手段は常に機能しなければならない」とも述べ、あらゆるレベルの話し合いを進める考えを表明した。 これまでの日ロの領土問題の話し合いを振り返り「日本がある段階で我々との接触を制限するのを決定した」と強調。ウクライナ問題を巡って日本が欧米と発動した対ロ制裁が協議を停滞させたとの認識を示した。ロシアへの強硬姿勢は「日本と日本国民の利益に全くかなっていない」とも語った。 プーチン氏がテレビを通じ全土の国民と直接対話する毎年恒例の特別番組に出演後、記者団に語った。5月の主要国首脳会議(伊勢志摩サミット)の前に領土問題の解決をちらつかせ議長国の日本に秋波を送って、主要7カ国(G7)内の対ロ融和論を勢いづかせたい思惑があるとみられる。 番組でも、あえて北方領土の色丹島の漁業関連企業の問題を取り上げた。給与遅配や地元当局の腐敗の実態を訴える労働者の質問を受けたプーチン氏は同島を管轄するサハリン州などの関係当局に早急な対応を指示し「状況を改善させるために全力を尽くす」と語った。司法当局は同日、この企業のトップを訴追したと発表した。 ロシアの近海でとれた水産品が中国経由で輸入され、ロシアの生産者や消費者が不利益を受けている実態も関連法の制定を通じて改める考えを示した。漁業の振興に取り組む姿勢もみせ、同島を大きな関心事としていることをうかがわせた。 色丹島は歯舞群島とともに1956年の日ソ共同宣言で両国の平和条約締結後に日本に引き渡すとされた。大統領との対話番組で他国との係争地に住む市民の不満に焦点を当てるのも極めて異例で「日本側にロシアとの関係改善を急ぐよう促す意図がある」(日ロ外交筋)との見方も出ている。 タックスヘイブン(租税回避地)を使った世界の富裕層の節税実態を暴露した「パナマ文書」で、プーチン氏の親友の名前が挙がったことには「米側の情報操作」との見方を示した。文書については「おかしなふうに見えるが、情報自体は信頼できる」と指摘。「記者ではなく、法律家によって用意されたようにみえる」と論評し、政権関係者による違法行為はないと弁明した。
"
日本水産,「ホヤ味噌おにぎり」市長絶賛 高校生が考案 | 河北新報オンラインニュース,http://www.kahoku.co.jp/tohokunews/201604/20160414_15063.html,河北新報,2016-04-14," 石巻市の宮城水産高の生徒3人が三陸特産のホヤを使った「ホヤ味噌(みそ)おにぎり」を考案し、手作りのおにぎりを持参して14日、亀山紘市長を訪ねた。試食した亀山市長は「おいしい」と満足げに語った。 考案したのは3年生の浅野陸さん(17)、桜井空さん(17)、保原和弥さん(17)。炒めたホヤを1センチ四方に切ってご飯に混ぜ、みそを塗ったおにぎりを大葉で包んだ。みそと大葉にホヤ独特の匂いを和らげる効果があるという。 県産ホヤの多くは韓国で消費されてきたが、韓国は2013年、東京電力福島第1原発事故の影響を理由に輸入を禁止。韓国に輸出できない状態が続く。 3人は「ホヤの消費拡大が課題。初めて食べる人も食べやすい味にしようと考えた」と説明した。 亀山市長は「素晴らしい。私もホヤが大好きで、体にもいい」と絶賛した。 ホヤ味噌おにぎりは2月、市が復興を後押しするアイデアを募った第1回創業ビジネスグランプリで優秀賞を受賞。東京で3月にあった日本水産学会主催の研究発表でも銀賞に輝いた。
"
日本水産,政府、激甚災害指定へ調査 TPP審議は取りやめ:朝日新聞デジタル,http://www.asahi.com/articles/ASJ4H35D5J4HUTFK006.html,日本農業新聞,2016-04-14," 熊本県を震源とする地震を受けて政府は15日午前8時すぎ、首相官邸で地震非常災害対策本部会議を開いた。蒲島郁夫・熊本県知事から激甚災害への指定を要請され、政府の現地調査団が早期指定に向けて被害状況を調査している。
安倍晋三首相は会議の冒頭、「亡くなられた方々のご冥福をお祈りします。被災者の救命救助は時間との勝負。救助活動に全力を期してもらいたい」と述べ、関係閣僚に対応を指示。「避難の長期化も予想されることから、住環境の確保なども含め関係機関が一体となって被災者支援に取り組んでほしい」と述べた。
テレビ会議で参加した熊本県の蒲島知事は、「甚大な被害が発生している。激甚災害の早期指定など全面的な支援をお願いしたい」と要望した。
政府の現地調査団は松本文明内閣府副大臣が団長となり、復旧事業などを支援する「激甚災害」の指定に向けた判断を行う。菅義偉官房長官は記者会見で「被害状況を早期に把握し、できる限り早く対応するよう指示している」と述べた。
この日から審議を再開する予定だった環太平洋経済連携協定(TPP)に関する法案などを審議する衆院の特別委員会では、冒頭で安倍首相が被災状況を説明。「本委員会にはできる限り出席するが、災害対応の緊急性にかんがみ、必要に応じ離席させて頂きたい」と述べて退出した。委員会は休憩に入り、この日の審議を見送った。自民、民進は国会対策委員長会談を開き、政府が災害対応に集中できるよう、関係閣僚が出席する委員会は原則として審議を取りやめることで合意した。
TPPの審議は進んでおらず、6月1日までの会期内の日程は窮屈になっているが、自民党の谷垣禎一幹事長は記者会見で「会期(延長)の検討には入っていない。まだ会期は1カ月以上ある」と述べ、会期延長に慎重な考えを示した。
与野党各党はそれぞれ熊本地震に対する対策本部を設置し、幹部らが集まって会合を開いた。自民党は情報収集のため熊本選出の国会議員5人を現地に派遣。民進党の岡田克也代表は党会合で「政府に対し(地震対応で)気がついたことは提案していく」と述べた。
"
日本水産,日本農業新聞 e農ネット - 熊本で震度7 政府対応急ぐ,http://www.agrinews.co.jp/modules/pico/index.php?content_id=36983,日本農業新聞,2016-04-14,"  熊本県益城町で14日夜震度7の揺れを観測した地震で、同県内では15日も震度6強の揺れを観測するなど、強い余震が続いている。これまでに9人の死亡が確認された。気象庁によると、日本国内で震度7を観測したのは東日本大震災の2011年3月11日以来。
政府は15日、「平成28年熊本地震」と命名。同日午前、首相官邸で非常災害対策本部を開き、安倍首相は「部隊を最大限投入し、救命・救助に全力を尽くす。被災者の住環境確保、支援に先手先手で取り組む」と強調した。菅義偉官房長官は会見で、激甚災害指定について「関係省庁にできるだけ早く対応するよう指示した」と述べた。
森山裕農相は発災直後の14日、九州農政局長に対し、災害対策本部を設置するよう指示。ため池やダム等の決壊による二次災害の発生を懸念し、しっかり対応するよう要請した。15日には農水省内に農林水産省緊急自然災害対策本部を設置し、農業関係の被害状況の迅速な把握と必要な対策の実施を指示した。
"
日本水産,生乳:自由化、反発強く…自民・業界「需給調整できず」 - 毎日新聞,http://mainichi.jp/articles/20160415/k00/00m/020/073000c,日本農業新聞,2016-04-14,"
指定団体経由せずに補助金
牛乳やバターの原料となる生乳の流通自由化を求めた政府の規制改革会議の提言に酪農家の反発が強まっている。指定団体経由で販売しなくても国の補助金が受け取れる内容となっており、夏の参院選を控える自民党は「需給調整ができなくなり、中小酪農家の経営を圧迫しかねない」と反対姿勢を鮮明にしている。
規制改革会議はバター不足の解消に向け、酪農家や乳業メーカーを調査した際、廃業の続出で生乳の生産量が減少していることを把握。その一因に需給調整や販売を担ってきた指定団体制度があると提言で指摘した。
生産の拡大意欲がある酪農家からは「生産量を抑えられ、価格も決められない」との不満が出ている。現行制度は1966年に始まったが、それ以来、酪農家の所得向上につながっていないのも事実で、規制改革会議は制度廃止で酪農家が競争力を高めれば出荷価格も上がり、酪農家の所得も増えると結論づけた。会議を主導する河野太郎規制改革担当相も「酪農を強くするという方向性は同じ」と反対派に理解を求めた。
これに対し、自民党の農林部会で14日に現行制度の廃止反対決議を取りまとめた坂本哲志衆議院議員は、記者団の前で「指定団体制度を維持しなければ、酪農界が混乱する」と話した。
反対派の主張では、生乳は短時間で乳業メーカーに引き渡す必要があるが、個別に取引すると安く買いたたかれたり、輸送コストがかさんだりする。そのため指定団体が各酪農家から生乳を集めてメーカーへ販売することで、「過疎地や離島で酪農を営むには欠かせない制度」(九州の酪農家)になっていると主張する。
また、生乳は季節による需要変動がつきものだが、指定団体に集め、普段は高く売れる飲料牛乳を優先して作り、余ったときにバターなど加工品を作ることで需給を調整している。この機能を維持するため、国は指定団体を通した生乳が加工用に使われた場合に限り、酪農家に年約300億円の補助金を出している。
しかし、自由化が進めば指定団体を通さなくても補助金が受け取れることになるだけに「生産調整に協力しない業者に、血税を使うのか」(業界団体)との批判も出ており、規制改革会議が答申をまとめる6月までせめぎ合いが続きそうだ。【寺田剛、宮川裕章】
生乳の指定団体制度
牛乳やバターなど乳製品の原料となる牛の「生乳」について、酪農家が国の指定を受けたホクレンなど全国10団体(指定団体)に販売を委託し、各指定団体が乳業メーカーと交渉して用途や価格、販売量を決める制度。価格が安い加工品向け生乳を出荷した場合、酪農家には、指定団体を通して国からの補助金が支払われる。
指定団体は交渉で、保存が難しい牛乳の出荷を優先したり、保存しやすいバターなど乳製品向けの出荷を後回しにしたりするなど流通面で調整役を担っている。しかし、一部酪農団体は同制度が自由な経営を阻害していると反発。酪農家は指定団体を通さずに乳業メーカーに出荷することもできるが、補助金は支払われない。指定団体は国内で生産される生乳の約97%を集荷している。
"
日本水産,日本農業新聞 e農ネット - 「廃止反対」を決議 指定団体制度で自民党,http://www.agrinews.co.jp/modules/pico/index.php?content_id=36985,日本農業新聞,2016-04-14,"   自民党の農林水産戦略調査会(西川公也会長)などは14日、政府の規制改革会議が提言した現行の指定生乳生産者団体制度の廃止を「受け入れられない」と決議した。同制度は日本の酪農を発展させるのに重要なものだとし、廃止は生乳需給の混乱などを招くと指摘。酪農の制度改革は同党の議論を踏まえ、十分な調整を経て方向性を示すよう政府に求めた。
"
日本水産,ASCII.jp:「魚の電子化」だけでは勝てない 水産プラットホームを目指すフーディソンの課題 (1/3)｜ASCII STARTUP 今週のイチオシ!,http://ascii.jp/elem/000/001/150/1150491/,ASCII.jp,2016-04-14," 鮮魚小売店事業「sakana bacca」(サカナバッカ)、飲食店向け卸売り事業『魚ポチ』、産地PR事業、水産に特化したシステム事業を手がけ、ITを活用した水産流通プラットフォームの再構築を目指して、水産業界に正面から取り組んでいるのが株式会社フーディソンだ。
13兆円もの市場規模があるが、労働集約的であり効率化が進んでいない水産流通。そのような構造的に疲弊した業界を変えるべく、店舗・EC・BtoB卸など一式で、生産者・量販店/飲食店・消費者をつなぐ仕組み作りを目指している。
飲食店向けの卸事業は3500の顧客数を超え、この4月からは全国の水産会社向けに自社向けだったシステムをカスタマイズして入荷情報の開示から飲食店・量販店からの受注、請求書発行までを行う『魚ポチPLUS』の提供を開始する。創業から3年を経て、「魚の電子化」の波は自社だけでなく業界へ向けて着実に進んでいる。だが、各種事業群を拡大させて動くのみかという状況だが、ここにきて、新たな経営課題が見えているという。
「水産業のバリューチェーン上の問題として、業界での感覚として各プレイヤーの言っていることはそれぞれ正しい。それは漁価の向上であり、物流の向上であり、それぞれは効果があること。ただ、現在の範囲での人的リソースでは見合わない。業界内に入って蓄積してきた知見を改めて顧みると、現在ビジネス上での戦略を改めてつくるべきタイミングとなっている」と語るのはフーディソンの山本徹代表取締役CEO。
長い歴史を持つ日本の水産業。業界のデータは農林水産省が蓄積しており、上流から下流まで要素は出そろっているが、それらは統合されておらず、10年後、どのようなビジョンが必要かは見えていない。水産業界のプラットホーマーとして業界を変えるには、何が必要なのか。単純なIT化だけでは終わらない、戦略をともなった変革実施のために何か求められるのか、山本代表に現状を聞いた。
4時間の業務が最短5分まで短縮
2013年4月創業のフーディソンは今年が4期目。現状の社員数は50名で、パートも含めると総勢は100名と成長。中でも、同社によるわかりやすい鮮魚IT化実績の一例は、4月18日から正式リリースとなる「魚ポチPLUS」だ。フーディソン自身が鮮魚サプライヤーの1社であるため、効率化を進めるため自社で作った飲食店向けシステム(魚ポチ)で、3500店を超える飲食店での利用がある。
「魚ポチとサカナバッカ(小売店)で使っていた仕組みを外に当てはめるとこうなるのでは、という提供を始めた形。魚ポチPLUSは、卸、仲卸、さらには漁師にも提供できるものとなっている」
テストマーケティングとして、築地の仲卸で使ってもらっていたが、それまで4時間だった業務が30分から短いところで5分まで短縮できた実績があるという。手書きから始まり、集計、FAX送信、FAX集計、箱への入れ分け、納品伝票作成とあったものが、データ直つなぎで梱包にシール1つで済むようになる。
フーディソンが自社で試算した市場関係の人件費は4500億。その3分の1が受発注系の業務に投下されており、市場規模としてはここだけで1500億程度となる。
だが、このような省力化の導入によってプレイヤーが変わるわけではない。鮮魚を消費者に届けてくれるサプライヤーがつなげるべき情報は変わっておらず、空いた時間でより魚の売買をつなげるための、付加価値の高い情報を使ったサービス展開などができるはずだと山本代表は考える。「コスト削減の一方で、もっと売り上げを増やせるはずの部分、たとえば顧客サポートの時間をさくなどできる。少ない人数で対応できる受発注によって、これまで失っていた機会を取りに行ける」
レガシーな水産市場に参入を果たしたベンチャー
さらに昨年末、関連会社として設立したフーディソン大田は、築地と並ぶ国内の巨大市場である東京都中央卸売市場大田市場で水産物部の仲卸免許を持つ。1月からの実稼働以降、フーディソン大田が市場内で行うのは、物流センターと商品開発だ。
「大田と築地ではそれぞれで役割が異なっている。物流といっても幅広く、鮮魚で大きく分けると、まずは産地からの長距離物流、次に物流センターでの集荷・商品化、そして顧客に届けるラストワンマイル物流の3点。築地ではフーディソンは自社の場所を持たないため、物流センター機能は業者と提携したものだった。一方、大田では物流センターとして、自社でシステムも作り、すでにある市場機能をより便利にするべく動いている。最も重要な点となるラストワンマイルの物流試験も始めている」(山本代表)
魚ポチがシステムとして拡大したのと同様に、顧客接点となる重要なラストワンマイルを手がけることで、ほかの業者へのシステム提供でのさらなる効率化も目指している。そのまま他社に対して物流機能を提供できるセンターとしても、フーディソン大田の存在は大きいという。
「大田市場に参入できたことは非常に大きい。3年目にして初めて 、ようやくフーディソンは水産業界内の人になれたが、これがじつは一番難しいことだった」と山本代表。11月には築地から移転予定の豊洲市場の動きもある。ただ、実質的に流通を一時的に止められる移転期間はたった4日間のみで、完全な機能移転を果たせるのかという業界での懸念もある。その短い期間のうちに0を一気に100にしなければならず、大田を予備として考えている業者も多く、枠は余っているわけではなかった。
"
日本水産,佐伯市がＰＲ 関係者に考案の料理振る舞う ／大分,http://mainichi.jp/articles/20160415/ddl/k44/040/289000c,毎日新聞,2016-04-15,
